Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
ULLAPOOL,ULLAPOOL,INS1040,GIZZEN BRIGGS,C18104,11481,NON-SECTOR,13.15,24.4,200,166.27,2004,S,GBR,N,Y
ULLAPOOL,ULLAPOOL,UL45,FRANCHISE,A12411,44421,SCOTTISH FISHERMENS ORGANISATION,14.95,43.77,231,186.923,1969,W,GBR,N,N
ULLAPOOL,ULLAPOOL,LK172,ARNBORG,A17773,40545,SCOTTISH FISHERMENS ORGANISATION,16.2,46,114,138.78,1974,W,GBS,N,Y
ULLAPOOL,ULLAPOOL,UL145,KILDONAN,A10705,40067,SCOTTISH FISHERMENS ORGANISATION,16.52,44,128,145.156,1969,W,GBS,N,N
ULLAPOOL,GAIRLOCH,WK80,SILVER CLOUD II,A13845,40350,WEST OF SCOTLAND FPO LTD,16.55,42,186.5,174.784,1972,W,GBR,N,N
ULLAPOOL,ULLAPOOL,BCK62,SUSTAIN,A10557,40274,SCOTTISH FISHERMENS ORGANISATION,16.76,65.82,238,200.118,1971,W,GBR,N,N
ULLAPOOL,ULLAPOOL,UL222,ZENITH,A13765,44606,SCOTTISH FISHERMENS ORGANISATION,16.8,41,128,148.32,1964,W,GBR,N,N
ULLAPOOL,ULLAPOOL,SY340,GUIDE US,A12219,40328,ORKNEY FPO LTD,16.82,46,140.31,152.286,1973,W,GBR,N,N
ULLAPOOL,ULLAPOOL,UL250,PROSPERITY,A11502,44235,SCOTTISH FISHERMENS ORGANISATION,17.31,100,335,258.938,1988,W,GBR,N,N
ULLAPOOL,ULLAPOOL,CY250,STELLA MARIS,A12586,44451,SCOTTISH FISHERMENS ORGANISATION,17.8,81,246,210.024,1980,W,GBR,N,N
ULLAPOOL,ULLAPOOL,INS140,GEORGIA DAWN,C18554,41087,NORTH SEA FISHERMENS ORGANISATION LTD,18,102,403,303.75,2005,S,GBR,N,Y
