Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
POOLE,PORTSMOUTH,P311,SAND JULIE,A20304,10298,NON-SECTOR,10.51,9.24,80,75.728,1972,F,UNK,N,N
POOLE,PORTSMOUTH,P300,PHANTOM,A20297,11979,NON-SECTOR,10.55,5.23,47.74,59.463,1972,W,GBR,Y,N
POOLE,SELSEY,SU206,SHEARWATER II,A23359,11103,NON-SECTOR,10.64,8.94,89,81.546,1974,W,GBR,Y,N
POOLE,PORTSMOUTH,P16,SPORTSMAN KNIGHT,A20080,10818,NON-SECTOR,10.76,10.41,111,89.87,1985,W,GBR,N,N
POOLE,POOLE,WH30,SKIN DEEP,C20542,11818,NON-SECTOR,11,10.63,378,215.2,2014,F,GBR,Y,N
POOLE,WEYMOUTH,WH425,QUARTER BELL,A23910,11725,NON-SECTOR,11,13.94,127,104.12,1986,F,UNK,Y,Y
POOLE,SELSEY,SE21,SOUWEST LADY,A22541,11022,NON-SECTOR,11.02,11.32,42,59.564,1961,W,GBR,Y,N
POOLE,POOLE,SU461,PURBECK 11,A23430,11112,NON-SECTOR,11.03,14.23,79,84.633,1981,U,GBR,Y,N
POOLE,SWANAGE,PW7,THREE WISHES,A21343,10878,NON-SECTOR,11.05,7.83,89.52,80.285,1972,W,GBR,Y,N
POOLE,LYME REGIS,E68,SEA SEEKER,A16472,11884,CORNISH FPO LTD,11.15,17.06,127,108.551,1985,S,GBR,Y,Y
POOLE,LYMINGTON,SU349,SEA CREST,A23390,11108,NON-SECTOR,11.15,10.59,134,107.91,1981,S,GBR,N,Y
POOLE,WEYMOUTH,TH420,AMANDA JANE,C17808,70932,NON-SECTOR,11.25,19.24,130,106.2,1984,F,GBR,Y,N
POOLE,SELSEY,NN404,TOBY ROC,A20024,11733,NON-SECTOR,11.45,12,80,84.09,1981,W,GBR,Y,N
POOLE,POOLE,LI215,SELSEY PEARL,A18327,12097,NON-SECTOR,11.69,8.16,89,86.81,1974,W,GBR,N,N
POOLE,SELSEY,SE27,BOLT HEAD QUEEN,A22546,11024,NON-SECTOR,11.71,9.9,52,71.996,1970,W,GBR,Y,N
POOLE,SELSEY,LI135,ZEUS,B12199,11563,NON-SECTOR,11.85,8.89,85,85.295,1991,F,GBR,Y,N
POOLE,ISLE OF WIGHT,SU116,GALWAD-Y-MOR OF LYMINGTON,A23307,11100,NON-SECTOR,11.95,29.75,128,120.457,1986,W,GBR,Y,N
POOLE,LYME REGIS,E12,NEW SEEKER,C20148,12259,CORNISH FPO LTD,11.95,25.93,220,164.844,2012,U,,N,Y
